poster,Content,Likes & loves,comments,shares
Yellowknife House Sitting,H here!i became a full-time housesitter as of august 1st (evacuation taking up a lot of that time) and i’m looking to continue this for as long as possible my current availability is: … See more,66,21 comments,2 shares
Yellowknife's Rants & Raves 2.0 (Rated E),Are evacuation insurance claims will result in increased policy premiums on renewal?What are the deductables?Would be good to list the answer from various insurers.,2,28 comments,2 shares
Families With Pets Evacuating Yellowknife 2023,"Hey folks, a number of crates were loaned out for the Yellowknife evacuation that have return information written on them. Does anyone have any that need to be returned to Edmonton? There are some people hoping to get their crates back. Please post them here and I can help organize a return trip. Everyone",4,2 comments,5 shares
Gracie Ann,"Volunteers preparing food hampers Edit! These hampers are for Rae residents only, these hampers were planned and in place to help all the Rae residents who lost groceries during our evacuation due to power outages.These hampers were already planned and started before the Yellowknife evacuation happened.",,57 comments,24 shares
Alannah Monica,"Thank you guys for the concern on the Yellowknife evacuation.I'm happy you're thinking of me!Just to clarify though, Edmonton is closer to Yellowknife (14.5 hour drive) than us (21.5 hour drive)… See more",66,15 comments,15 comments
Yellowknife Women's Society,"We’ve put together a timeline of our experience during the evacuation and wanted to share it publicly as we know others shared our concerns for our unhoused community members. Here’s some critical moments of the timeline, but you can find the full details on our website. https://www.ykws.ca/post/ykws-evacuation-story",43,4 comments,55 shares
Liminal Spaces,Yellowknife during evacuation this summer.  Stayed behind as an essential worker.,6,4 comments,4 comments
Peterson's Point Lake Lodge,"As many of you know our autumn trips have been cancelled due to the threat of wildfire to Yellowknife and the evacuation of our capital city. We were very much looking forward to hosting you and providing you with an extraordinary experience at our lodge this fall and are very sorry for the unfortunate need to cancel your trip. Please note that our lodge is not under wildfire threat, the Yellowknife evacuation impacts our business office, logistical operations, and Yellowknif… See more",41,11 comments,4 shares
Stu Rawlings,"Incredible event happening in Yellowknife Northwest Territories right now.  Largest evacuation of one place in Canada's history.  All 22,000 people required to leave by noon Friday.  Fire expected to be at city's edge by Friday night.  First evacuation flights by Canada Forces Hercules military transport planes starting today.  So glad Mary got out yesterday.  She was there visiting Nikki and fam for a week, was supposed to stay until Friday.  Westjet arranged to put Mary o… See more",19,14 comments,7 shares
Timber Wolf Photography,Sorry everyone! I won’t be taking photos for a while  Hope everyone is staying safe out there! #yellowknifeevacuation #yellowknifephotographer,2,3 comments,3 comments
Digawolf,"Yellowknife fire evacuation I drove to Behchoko (my home town) and tented at my brother David Gon. It’s been 5 years since I’ve been home. Fish, caribou meat and tea was amazing. I am grateful for my brother and family to host me. And I made a new friend Oreo their security/family dog who finally warmed up to me (best friends now!). Mahsi Cho Behchoko! #yellowknife #behchoko #nwt #evacuation #yzf #yellowknifeevacuation",83,4 comments,1 share
Airdrie Giveaway or Trade!,"OK during the Yellowknife evacuation, we housed a relatives 16 year cat for a couple weeks.They have safely return to Yellowknife, but she has asked me to generously donate the items to somebody who has rescued a cat or desperately need some here in Airdrie, because she would like to pay it forward.**Thank you everyone I just have the scoop, the bowls, ￼ the disposable litter box, and the litter scoop left.",12,18 comments,18 comments
Randy Straker,"I am amazed by the work being put into protecting and maintaining the city. Volunteers out pulling bins to the sidewalk for collection, the team from YZF hard at it on DehCho Blvd, sprinklers systems set up, constant water bombers.Evacuees, take care of yourselves and each other, and look out for those who may be separated from their spouse or partner.  We miss you and can't wait to have you back home.#proudofthiscity #evacuation #wildfires",59,3 comments,7 shares
Concerned Yellowknife Residents for a Day Shelter Downtown,This is a helpful set of images to learn about the experience of Yellowknife Women Society's program participants during the Yellowknife evacuation.,1,1 share,1 share
,"Some service-users have spoken with YKWS staff about their evacuation experiences, and have agreed to share parts of their stories. They spoke of some of the … See more",,,
The Explorer Hotel,"As wildfires continue to spread, we are seeing an influx of displaced wildlife entering our cities in search of safety. Stay safe, stay vigilant, and keep an eye out for our furry friends!"" #explorerhotel #yellowknife #Wildlife #Evacuation #Safety #wildlifeprotection #wildfires",38,14 comments,83 shares
Tawna Brown,"Home sweet Home. It was surreal coming back, seeing the continued smouldering in the ground driving through smoke with charred forest all over. It was very emotional to say the least. It will take some time to “settle” back home, but I’m so grateful to be back - thanks to all those involved with fighting the fires and keeping our city safe. .Check out Hiccup’s reaction as we approached home It was sooo sweet!!.We stopped along the way several times, and turned aro… See more",83,23 comments,23 comments
Caitlin Cleveland,"NOTE: YELLOWKNIFE IS NOT UNDER AN EVACUATION ORDER. THIS INFORMATION IS TO HELP PREPARE.One of the biggest concerns I am hearing about is pet evacuations. The attached can help plan, but I will also say, that based on what we have seen through other evacuations, if you do not have a vehicle that can take your animal, it is worth having a pre-planned solution. I recommend finding a community member willing to take your pet in their vehicle.It is better to be overly prepare… See more",23,22 comments,36 shares
